ALEACION,Al,Mg,Zn,Mn,Cu,Fe,Si,Ni
1030,99.30 min,0.05 max,0.10 max,0.05 max,0.10 max,0.60 max,0.35 max,
1035,99.35 min,0.05 max,0.10 max,0.05 max,0.10 max,0.60 max,0.35 max,
1040,99.40 min,0.05 max,0.10 max,0.05 max,0.10 max,0.05 max,0.30 max,
1045,99.45 min,0.05 max,0.05 max,0.05 max,0.10 max,0.45 max,0.30 max,
1050,99.50 min,0.05 max,0.05 max,0.05 max,0.05 max,0.40 max,0.25 max,
1055,99.55 min,0.05 max,0.05 max,0.05 max,0.05 max,0.40 max,0.25 max,
1060,99.60 min,0.03 max,0.05 max,0.03 max,0.05 max,0.35 max,0.25 max,
1065,99.65 min,0.03 max,0.05 max,0.03 max,0.05 max,0.30 max,0.25 max,
1070,99.70 min,0.03 max,0.04 max,0.03 max,0.04 max,0.25 max,0.20 max,
1075,99.75 min,0.03 max,0.04 max,0.03 max,0.04 max,0.20 max,0.20 max,
1080,99.80 min,0.02 max,0.03 max,0.02 max,0.03 max,0.15 max,0.15 max,
1085,99.85 min,0.02 max,0.03 max,0.02 max,0.03 max,0.12 max,0.10 max,
1090,99.90 min,0.01 max,0.03 max,0.01 max,0.02 max,0.07 max,0.07 max,
1095,99.95 min,0.01 max,0.01 max,0.01 max,0.01 max,0.04 max,0.03 max,
1098,99.98 min,,0.015 max,,0.003 max,0.006 max,0.01 max,
1100,99.00 min,,0.10 max,0.05 max,0.05 - 0.20,,,
1110,99.10 min,0.25 max,,0.01 max,0.04 max,0.80 max,0.30 max,
1120,99.20 min,0.20 max,0.05 max,0.01 max,0.05 - 0.35,0.40 max,0.10 max,
1135,99.35 min,0.05 max,0.10 max,0.04 max,0.05 - 0.20,,,
1145,99.45 min,0.05 max,0.05 max,0.05 max,0.05 max,,,
1150,99.50 min,0.05 max,0.05 max,0.05 max,0.05 - 0.20,,,
1170,99.70 min,0.02 max,0.04 max,0.03 max,0.03 max,,,
1175,99.75 min,0.02 max,0.03 max,0.02 max,0.10 max,,,
1180,99.80 min,0.02 max,0.03 max,0.02 max,0.01 max,0.09 max,0.09 max,
1185,99.85 min,0.02 max,0.03 max,0.02 max,0.01 max,,,
1188,99.88 min,0.01 max,0.03 max,0.01 max,0.005 max,0.06 max,0.06 max,
1190,99.90 min,0.05 max,0.02 max,0.01 max,0.01 max,0.07 max,0.05 max,
1193,99.93 min,,0.03 max,,0.006 max,0.04 max,0.04 max,
1198,99.98 min,,0.01 max,0.006 max,0.006 max,0.006 max,0.01 max,
1199,99.99 min,0.006 max,0.006 max,0.002 max,0.006 max,0.006 max,0.006 max,
1200,99.00 min,,0.10 max,0.05 max,0.05 max,,,
1230,99.30 min,0.05 max,0.10 max,0.05 max,0.10 max,,,
1235,99.35 min,0.05 max,0.01 max,0.05 max,0.05 max,,,
1250,99.50 min,0.01 max,0.05 max,0.01 max,0.10 max,0.40 max,0.20 max,
1260,99.60 min,0.03 max,0.05 max,0.01 max,0.04 max,,,
1275,99.75 min,0.02 max,0.03 max,0.02 max,0.05 - 0.10,0.12 max,0.08 max,
1285,99.85 min,,0.03 max,,0.02 max,0.08 max,0.08 max,
1345,99.45 min,0.05 max,0.05 max,0.05 max,0.10 max,0.40 max,0.30 max,
1350,99.50 min,,0.05 max,0.01 max,0.05 max,0.40 max,0.10 max,
1370,99.70 min,0.02 max,0.04 max,0.01 max,0.02 max,0.25 max,0.10 max,
1385,99.85 min,0.02 max,0.03 max,0.01 max,0.02 max,0.12 max,0.05 max,
1435,99.35 min,0.05 max,0.10 max,0.05 max,0.02 max,0.30 - 0.50,0.15 max,
1445,99.45 min,,,,0.04 max,,,
1450,99.50 min,0.05 max,0.07 max,0.05 max,0.05 max,0.40 max,0.25 max,
2001,resto,0.20 - 0.45,0.10 max,0.15 - 0.50,5.20 - 6.00,0.20 max,0.20 max,
2002,resto,0.50 - 1.00,0.20 max,0.20 max,1.50 - 2.50,0.30 max,0.35 - 0.80,
2003,resto,0.02 max,0.10 max,0.30 - 0.80,4.00 - 5.00,0.30 max,0.30 max,
2004,resto,0.05 max,0.10 max,0.10 max,5.50 - 6.50,0.20 - 0.50,0.20 max,
2005,resto,0.20 - 1.00,0.05 max,1.00 max,3.50 - 5.00,0.70 max,0.80 max,
2006,resto,0.50 - 1.40,0.20 max,0.60 - 1.00,1.00 - 2.00,0.70 max,0.80 - 1.30,
2007,resto,0.40 - 1.80,0.80 max,0.50 - 1.00,3.30 - 4.60,0.80 max,0.80 max,
2008,resto,0.25 - 0.50,0.25 max,0.30 max,0.70 - 1.10,0.40 max,0.50 - 0.80,
2009,resto,1.00 - 1.60,0.10 max,,3.20 - 4.40,0.05 max,0.25 max,
2010,resto,0.40 - 1.00,0.30 max,0.10 - 0.40,0.70 - 1.30,0.50 max,0.50 max,
2011,resto,,0.30 max,,5.00 - 6.00,0.70 max,0.40 max,
2012,resto,,0.30 max,,4.00 - 5.50,0.70 max,0.40 max,
2014,resto,0.20 - 0.80,0.25 max,0.40 - 1.20,3.90 - 5.00,0.70 max,0.50 - 1.20,
2017,resto,0.40 - 0.80,0.25 max,0.40 - 1.00,3.50 - 4.50,0.70 max,0.20 - 0.80,
2018,resto,0.45 - 0.90,0.25 max,0.20 max,3.50 - 4.50,1.00 max,0.90 max,
2020,resto,0.03 max,0.25 max,0.30 - 0.80,4.00 - 5.00,0.40 max,0.40 max,
2021,resto,0.02 max,0.10 max,0.20 - 0.40,5.80 - 6.80,0.30 max,0.20 max,
2024,resto,1.20 - 1.80,0.25 max,0.30 - 0.90,3.80 - 4.90,0.05 max,0.05 max,
2025,resto,0.05 max,0.25 max,0.40 - 1.20,3.90 - 5.00,1.00 max,0.50 - 1.20,
2030,resto,0.50 - 1.30,,0.20 - 1.00,3.30 - 4.50,0.70 max,0.80 max,
2031,resto,0.60 - 1.20,0.20 max,0.50 max,1.80 - 2.80,0.60 - 1.20,0.50 - 1.30,
2034,resto,1.30 - 1.90,0.2,0.80 - 1.30,4.20 - 4.80,0.12,0.1,
2036,resto,0.30 - 0.60,0.25 max,0.10 - 0.40,2.20 - 3.00,0.50 max,0.50 max,
2037,resto,0.30 - 0.80,0.25 max,0.10 - 0.40,1.40 - 2.20,0.50 max,0.50 max,
2038,resto,0.40 - 1.00,0.5,0.10 - 0.40,0.80 - 1.80,0.6,0.50 - 1.30,
2048,resto,1.20 - 1.80,0.25 max,0.20 - 0.60,2.80 - 3.80,0.20 max,0.15 max,
2080,resto,1.50 - 2.20,0.10 max,0.25 max,3.30 - 4.10,0.20 max,0.10 max,
2090,resto,0.25 max,0.10 max,0.05 max,2.40 - 3.00,0.12 max,0.10 max,
2091,resto,1.10 - 1.90,0.25 max,0.10 max,1.80 - 2.50,0.30 max,0.20 max,
2094,resto,0.25 - 0.80,0.25 max,0.25 max,4.40 - 5.20,0.15 max,0.12 max,
2095,resto,0.25 - 0.80,0.25 max,0.25 max,3.90 - 4.60,0.15 max,0.12 max,
2096,resto,0.25 - 0.80,0.25 max,0.25 max,2.30 - 3.00,0.15 max,0.12 max,
2097,resto,0.35 max,0.35 max,0.10 - 0.60,2.50 - 3.10,0.15 max,0.12 max,
2111,resto,,0.30 max,,5.00 - 6.00,0.70 max,0.40 max,
2117,resto,0.20 - 0.50,0.25 max,0.20 max,2.20 - 3.00,0.70 max,0.80 max,
2124,resto,1.20 - 1.80,0.25 max,0.30 - 0.90,3.80 - 4.90,0.30 max,0.20 max,
2195,resto,0.25 - 0.80,0.25 max,0.25 max,3.70 - 4.30,0.15 max,0.12 max,
2197,resto,0.25 max,0.05 max,0.10 - 0.50,2.50 - 3.10,0.10 max,0.10 max,
2214,resto,0.20 - 0.80,0.25 max,0.40 - 1.20,3.90 - 5.00,0.30 max,0.50 - 1.20,
2218,resto,1.20 - 1.80,0.25 max,0.20 max,3.50 - 4.50,1.00 max,0.90 max,
2219,resto,0.02 max,0.10 max,0.20 - 0.40,5.80 - 6.80,0.30 max,0.20 max,
2224,resto,1.20 - 1.80,0.25 max,0.30 - 0.90,3.80 - 4.40,0.15 max,0.12 max,
2297,resto,0.25 max,0.05 max,0.10 - 0.50,2.50 - 3.10,0.10 max,0.10 max,
2319,resto,0.02 max,0.10 max,0.20 - 0.40,5.80 - 6.80,0.30 max,0.20 max,
2324,resto,1.20 - 1.80,0.25 max,0.30 - 0.90,3.80 - 4.40,0.12 max,0.10 max,
2419,resto,0.02 max,0.10 max,0.20 - 0.40,5.80 - 6.80,0.18 max,1.15 max,
2424,resto,1.20 - 1.60,0.20 max,0.30 - 0.60,3.80 - 4.40,0.12 max,0.10 max,
2519,resto,0.05 - 0.40,0.10 max,0.10 - 0.50,5.30 - 6.40,0.30 max,0.25 max,
2524,resto,1.20 - 1.60,0.15 max,0.45 - 0.70,4.00 - 4.50,0.12 max,0.06 max,
2618,resto,1.30 - 1.80,,,1.90 - 2.70,0.90 - 1.30,0.10 - 0.25,
3002,resto,0.05 - 0.20,0.03 max,0.05 - 0.25,0.15 max,0.10 max,0.08 max,
3003,resto,,0.10 max,1.00 - 1.50,0.05 - 0.20,0.70 max,0.60 max,
3004,resto,0.80 - 1.30,0.25 max,1.00 - 1.50,0.25 max,0.70 max,0.30 max,
3005,resto,0.20 - 0.60,0.25 max,1.00 - 1.50,0.30 max,0.70 max,0.60 max,
3006,resto,0.30 - 0.60,0.15 - 0.40,0.50 - 0.80,0.10 - 0.30,0.70 max,0.50 max,
3007,resto,0.60 max,0.40 max,0.30 - 0.80,0.05 - 0.30,0.70 max,0.50 max,
3008,resto,0.01 max,0.05 max,1.20 - 1.80,0.10 max,0.70 max,0.40 max,
3009,resto,0.10 max,0.05 max,1.20 - 1.80,0.10 max,0.70 max,1.00 - 1.80,
3010,resto,,0.05 max,0.20 - 0.90,0.03 max,0.20 max,0.10 max,
3011,resto,,0.10 max,0.80 - 1.20,0.05 - 0.20,0.70 max,0.40 max,
3012,resto,0.10 max,0.10 max,0.50 - 1.10,0.10 max,0.70 max,0.60 max,
3013,resto,0.20 - 0.60,0.50 - 1.00,0.90 - 1.40,0.50 max,1.00 max,0.60 max,
3014,resto,0.10 max,0.50 - 1.00,1.00 - 1.50,0.50 max,1.00 max,0.60 max,
3015,resto,0.20 - 0.70,0.25 max,0.50 - 0.90,0.30 max,0.80 max,0.60 max,
3016,resto,0.50 - 0.80,0.25,0.50 - 0.90,0.30 max,0.80 max,0.60 max,
3017,resto,0.10 max,0.10 max,0.80 - 1.20,0.25 - 0.40,0.25 - 0.45,0.25 max,
3018,resto,0.80 - 1.40,0.25 max,1.10 - 1.40,0.10 - 0.30,0.15 - 0.25,0.30 max,
3020,resto,0.05 max,0.05 - 0.50,0.60 - 1.40,0.10 max,0.35 max,0.15 max,
3025,resto,0.20 - 0.80,0.25 max,0.40 - 1.00,0.30 max,0.50 - 0.90,0.60 max,
3030,resto,0.05 max,0.05 - 0.50,0.10 - 0.70,0.10 max,0.35 max,0.15 max,
3102,resto,,0.30 max,0.05 - 0.40,0.10 max,0.70 max,0.40 max,
3103,resto,0.30 max,0.20 max,0.90 - 1.50,0.10 max,0.70 max,0.50 max,
3104,resto,0.80 - 1.30,0.25 max,0.80 - 1.40,0.05 - 0.25,0.80 max,0.60 max,
3105,resto,0.20 - 0.80,0.40 max,0.30 - 0.80,0.30 max,0.70 max,0.60 max,
3107,resto,,0.20 max,0.40 - 0.90,0.05 - 0.15,0.70 max,0.60 max,
3203,resto,,0.10 max,1.00 - 1.50,0.05 max,0.70 max,0.60 max,
3204,resto,0.80 - 1.50,0.25 max,0.80 - 1.50,0.10 - 0.25,0.70 max,0.30 max,
3207,resto,0.10 max,0.10 max,0.40 - 0.80,0.10 max,0.45 max,0.30 max,
3303,resto,,0.30 max,1.00 - 1.50,0.05 - 0.20,0.70 max,0.60 max,
3307,resto,0.30 max,0.40 max,0.50 - 0.90,0.30 max,0.80 max,0.60 max,
4002,resto,0.05 - 0.15,0.15 max,0.03 max,0.05 - 0.15,0.35 max,3.50 - 4.50,
4004,resto,1.00 - 2.00,0.20 max,0.10 max,0.25 max,0.80 max,9.00 - 10.50,
4006,resto,0.01 max,0.05 max,0.05 max,0.10 max,0.50 - 0.80,0.80 - 1.20,
4007,resto,0.20 max,0.10 max,0.80 - 1.50,0.20 max,0.40 - 1.00,1.00 - 1.70,
4008,resto,0.30 - 0.45,0.05 max,0.05 max,0.05 max,0.09 max,6.50 - 7.50,
4009,resto,0.45 - 0.60,0.10 max,0.10 max,1.00 - 1.50,0.10 max,4.50 - 5.50,
4010,resto,0.30 - 0.45,0.10 max,0.10 max,0.20 max,0.20 max,6.50 - 7.50,
4011,resto,0.45 - 0.70,0.10 max,0.10 max,0.20 max,0.20 max,6.50 - 7.50,
4013,resto,0.05 - 0.20,0.05 max,0.03 max,0.05 - 0.20,0.35 max,3.50 - 4.50,
4014,resto,0.30 - 0.80,0.20 max,0.35 max,0.20 max,0.70 max,1.40 - 2.20,
4015,resto,0.10 - 0.50,0.20 max,0.60 - 1.20,0.20 max,0.70 max,1.40 - 2.20,
4017,resto,0.10 - 0.50,0.20 max,0.60 - 1.20,0.10 - 0.50,0.70 max,0.60 - 1.60,
4018,resto,0.50 - 0.80,0.10 max,0.10 max,0.05 max,0.20 max,6.50 - 7.50,
4032,resto,0.80 - 1.30,0.25 max,,0.50 - 1.30,1.00 max,11.00 - 13.50,
4043,resto,0.05 max,0.10 max,0.05 max,0.30 max,0.80 max,4.50 - 6.00,
4044,resto,,0.20 max,0.10 max,0.25 max,0.80 max,7.80 - 9.20,
4045,resto,0.05 max,0.10 max,0.05 max,0.30 max,0.80 max,9.00 - 11.00,
4046,resto,0.20 - 0.50,0.10 max,0.40 max,0.03 max,0.50 max,9.00 - 11.00,
4047,resto,0.10 max,0.20 max,0.15 max,0.30 max,0.80 max,11.00 - 13.00,
4048,resto,0.07 max,9.30 - 10.70,0.07 max,3.30 - 4.70,0.80 max,9.30 - 10.70,
4104,resto,1.00 - 2.00,0.20 max,0.10 max,0.25 max,0.80 max,9.50 - 10.50,
4145,resto,0.15 max,0.20 max,0.15 max,3.30 - 4.70,0.80 max,9.30 - 10.70,
4147,resto,0.10 - 0.50,0.20 max,0.10 max,0.25 max,0.80 max,11.00 - 13.00,
4343,resto,,0.20 max,0.10 max,0.25 max,0.80 max,6.80 - 8.20,
4543,resto,0.10 - 0.40,0.10 max,0.05 max,0.10 max,0.50 max,5.00 - 7.00,
4643,resto,0.10 - 0.30,0.10 max,0.05 max,0.10 max,0.80 max,3.60 - 4.60,
A301 0,resto,0.25 - 0.50,0.05 max,0.50 - 0.80,3.00 - 3.50,0.80 - 1.50,9.50 - 10.50,1.00 - 1.50
A301 1,resto,0.30 - 0.50,0.05 max,0.50 - 0.80,3.00 - 3.50,0.80 - 1.20,9.50 - 10.50,1.00 - 1.50
A302 0,resto,0.70 - 1.20,0.05 max,,2.80 - 3.20,0.25 max,9.50 - 10.50,1.00 - 1.50
A302 1,resto,0.80 - 1.20,0.05 max,,2.80 - 3.20,0.20 max,9.50 - 10.50,1.00 - 1.50
A303 0,resto,0.45 - 0.70,0.05 max,0.50 - 0.80,0.20 max,0.80 - 1.50,9.50 - 10.50,
A303 1,resto,0.50 - 0.70,0.05 max,0.50 - 0.80,0.20 max,0.80 - 1.20,9.50 - 10.50,
A305 0,resto,0.10 max,0.35 max,0.50 max,1.00 - 1.50,0.60 max,4.50 - 5.50,
A305 2,resto,,0.05 max,0.05 max,1.00 - 1.50,0.14 - 0.25,4.50 - 5.50,
A308 0,resto,0.10 max,1.00 max,0.50 max,4.00 - 5.00,1.00 max,5.00 - 6.00,
A308 1,resto,0.10 max,1.00 max,0.50 max,4.00 - 5.00,0.80 max,5.00 - 6.00,
A308 2,resto,0.10 max,0.50 max,0.30 max,4.00 - 5.00,0.80 max,5.00 - 6.00,
A318 0,resto,0.10 - 0.60,1.00 max,0.50 max,3.00 - 4.00,1.00 max,5.50 - 6.50,0.35 max
A318 1,resto,0.15 - 0.60,0.90 max,0.50 max,3.00 - 4.00,0.80 max,5.50 - 6.50,0.35 max
A319 0,resto,0.10 max,1.00 max,0.50 max,3.00 - 4.00,1.00 max,5.50 - 6.50,0.35 max
A319 1,resto,0.10 max,1.00 max,0.50 max,3.00 - 4.00,0.80 max,5.50 - 6.50,0.35 max
A319 2,resto,0.10 max,0.10 max,0.10 max,3.00 - 4.00,0.60 max,5.50 - 6.50,0.10 max
A320 0,resto,0.05 - 0.60,3.00 max,0.80 max,2.00 - 4.00,1.20 max,5.00 - 8.00,0.35 max
A320 1,resto,0.10 - 0.60,3.00 max,0.80 max,2.00 - 4.00,0.90 max,5.00 - 8.00,0.35 max
A324 0,resto,0.40 - 0.70,1.00 max,0.05 max,0.40 - 0.60,1.20 max,7.00 - 8.00,0.30 max
A324 1P,resto,0.45 - 0.70,1.00 max,0.05 max,0.40 - 0.60,0.90 max,7.00 - 8.00,0.30 max
A324 2,resto,0.45 - 0.70,0.10 max,0.10 max,0.40 - 0.60,0.60 max,7.00 - 8.00,0.10 max
A328 0,resto,0.20 - 0.60,1.50 max,0.20 - 0.60,1.00 - 2.00,1.00 max,7.50 - 8.50,0.25 max
A328 1,resto,0.25 - 0.60,1.50 max,0.20 - 0.60,1.00 - 2.00,0.80 max,7.50 - 8.50,0.25 max
A332 0,resto,0.50 - 1.50,1.00 max,0.05 max,2.00 - 4.00,1.20 max,8.50 - 10.50,0.50 max
A332 1,resto,0.60 - 1.50,1.00 max,0.05 max,2.00 - 4.00,0.90 max,8.50 - 10.50,0.05 max
A332 2,resto,0.90 - 1.30,0.10 max,0.10 max,2.00 - 4.00,0.60 max,8.50 - 10.00,0.10 max
A333 0,resto,0.05 - 0.50,1.00 max,0.05 max,3.00 - 4.00,1.00 max,8.00 - 10.00,0.05 max
A333 1,resto,0.10 - 0.50,1.00 max,0.05 max,3.00 - 4.00,0.80 max,8.00 - 10.00,0.05 max
A336 0,resto,0.70 - 1.30,0.35 max,0.35 max,0.50 - 1.50,1.20 max,11.00 - 13.00,2.00 - 3.00
A336 1,resto,0.80 - 1.30,0.35 max,0.35 max,0.50 - 1.50,0.90 max,11.00 - 13.00,2.00 - 3.00
A336 2,resto,0.90 - 1.30,0.10 max,0.10 max,0.50 - 1.50,0.90 max,11.00 - 13.00,
A337 0,resto,0.30 - 0.50,0.03 max,0.50 - 0.80,3.00 - 3.50,0.80 - 1.20,9.50 - 10.50,1.00 - 1.50
A337 1,resto,0.35 - 0.50,0.03 max,0.50 - 0.80,3.00 - 3.50,0.80 - 0.90,9.50 - 10.50,1.00 - 1.50
A338 0,resto,0.80 - 1.20,,,2.80 - 3.20,0.20 max,9.50 - 10.50,1.00 - 1.50
A338 1,resto,0.90 - 1.20,,,2.80 - 3.20,0.17 max,9.50 - 10.50,1.00 - 1.50
A339 0,resto,0.50 - 1.50,1.00 max,0.50 max,1.50 - 3.00,1.20 max,11.00 - 13.00,0.50 - 1.50
A339 1,resto,0.60 - 1.50,1.00 max,0.50 max,1.50 - 3.00,0.90 max,11.00 - 13.00,0.50 - 1.50
A343 0,resto,0.10 max,1.20 - 2.00,0.50 max,0.50 - 0.90,1.20 max,6.70 - 7.70,
A343 1,resto,0.10 max,1.20 - 1.90,0.05 max,0.50 - 0.90,0.50 - 0.90,6.70 - 7.70,
A354 0,resto,0.40 - 0.60,0.10 max,0.10 max,1.60 - 2.00,0.20 max,8.60 - 9.40,
A354 1,resto,0.45 - 0.60,0.10 max,0.10 max,1.60 - 2.00,0.15 max,8.60 - 9.40,
A355 0,resto,0.40 - 0.60,0.35 max,0.50 max,1.00 - 1.50,0.60 max,4.50 - 5.50,
A355 1,resto,0.45 - 0.60,0.35 max,0.50 max,1.00 - 1.50,0.50 max,4.50 - 5.50,
A355 2,resto,0.50 - 0.60,0.05 max,0.05 max,1.00 - 1.50,0.14 - 0.25,4.50 - 5.50,
A356 0,resto,0.20 - 0.45,0.35 max,0.35 max,0.25 max,0.60 max,6.50 - 7.50,
A356 1,resto,0.25 - 0.45,0.35 max,0.35 max,0.25 max,0.50 max,6.50 - 7.50,
A356 2,resto,0.30 - 0.45,0.05 max,0.05 max,0.10 max,0.13 - 0.25,6.50 - 7.50,
A357 0,resto,0.45 - 0.60,0.05 max,0.03 max,0.05 max,0.15 max,6.50 - 7.50,
A357 1,resto,0.45 - 0.60,0.05 max,0.03 max,0.05 max,0.12 max,6.50 - 7.50,
A358 0,resto,0.40 - 0.60,0.20 max,0.20 max,0.20 max,0.30 max,7.60 - 8.60,
A358 2,resto,0.45 - 0.60,0.10 max,0.10 max,0.10 max,0.20 max,7.60 - 8.60,
A359 0,resto,0.50 - 0.70,0.10 max,0.10 max,0.20 max,0.20 max,8.50 - 9.50,
A359 2,resto,0.55 - 0.70,0.10 max,0.10 max,0.10 max,0.12 max,8.50 - 9.50,
A360 0,resto,0.40 - 0.60,0.50 max,0.35 max,0.60 max,2.00 max,9.00 - 10.00,0.50 max
A360 2,resto,0.45 - 0.60,0.10 max,0.10 max,0.10 max,0.70 - 1.10,9.00 - 10.00,0.10 max
A361 0,resto,0.40 - 0.60,0.50 max,0.25 max,0.50 max,1.10 max,9.50 - 10.50,0.20 - 0.30
